CdStationMesureEauxSurface;LbStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;NomEntiteHydrographique;TypeCEStationMesureEauxSurface
02099000;LA BLIES À BLIESBRUCK;1004810.0;6898785.99;La Blies;
02099490;LE GOLDBACH À SARREINSMING;1000745.0;6895183.99;;
02099500;LA SARRE À SARREINSMING;999946.0;6895271.99;La Sarre;
02099550;LE STEINBACH À REMELFING;997459.0;6896079.99;Ruisseau le Steinbach;
02099570;LA HORN À BITCHE (AMONT);1024826.0;6891962.99;La Horn;
02099580;LA HORN À BITCHE (OCHSENMUHLE);1024206.0;6895366.99;La Horn;
02099582;LA HORN À BITCHE (HASSELBACH);1024816.0;6896441.99;La Horn;
02099590;LE SCHWARTZENBACH À HASPELSCHIEDT;1027318.0;6897013.99;Ruisseau le Schwartzenbach;
02099595;LE SCHWARTZENBACH À HASPELSCHIEDT (AVAL);1026769.0;6899181.99;Ruisseau le Schwartzenbach;
02099610;LE SCHWARTZENBACH À LIEDERSCHIEDT;1026601.0;6900522.99;Ruisseau le Schwartzenbach;
02099800;LA BLIES À BLIES-GUERSVILLER;997574.0;6902047.99;La Blies;
02100000;LA SARRE À SARREGUEMINES;996110.0;6897860.99;La Sarre;
02100030;L'ALTWIESENBACH À HUNDLING;991466.0;6895709.99;Ruisseau l'Altwiesenbach;
02100100;L'ALTWIESENBACH À SARREGUEMINES (WELFERDING);995105.0;6898051.99;Ruisseau l'Altwiesenbach;
02100150;LA SARRE À GROSBLIEDERSTROFF (AMONT);994763.0;6901618.99;La Sarre;
02100185;LE RUISSEAU DE LIXING À LIXING-LES-ROUHLING;990371.0;6902352.99;Ruisseau de Lixing;
02100190;LE RUISSEAU DE LIXING À GROSBLIEDERSTROFF;993423.0;6902168.99;Ruisseau de Lixing;
02100200;LA SARRE À GROSBLIEDERSTROFF;993932.0;6902737.99;Canal des Houilleres de la Sarre;
02100600;LA HORN À LIEDERSCHIEDT;1026267.0;6901180.99;La Horn;
02100603;LA HORN À WALDHOUSE;1026632.0;6901997.99;La Horn;
02100610;LE SCHWARZBACH À WALSCHBRONN;1027273.0;6903334.99;Ruisseau le Schwarzbach;
02100620;LE BREIDENBACH À BREIDENBACH;1022560.0;6901477.99;Ruisseau le Breidenbach;
02100635;LE RUISSEAU DE TOTENBACH À BREIDENBACH;1023916.0;6902492.99;;
02100640;LE BREIDENBACH À BREIDENBACH (EICHENBERG);1023624.0;6903466.99;Ruisseau le Breidenbach;
02100642;LE BREIDENBACH À WALDHOUSE;1024316.0;6904453.99;Ruisseau le Breidenbach;
02100650;LA HORN À WALSCHBRONN;1024512.0;6904683.99;La Horn;
02100660;LA HORN À ROLBING;1023552.0;6906440.99;La Horn;
02100680;LE SCHWANGERBACH À REYERSVILLER;1020897.0;6891297.99;Ruisseau Schwangerbach;
02100700;LE SCHWALBACH À SIERSTHAL;1017733.0;6891453.99;Le Schwalbach;
02100720;LE SCHWALBACH À HOTTVILLER (FERME NEUNKIRCH);1017397.0;6894572.99;Le Schwalbach;
02100800;LE SCHWALBACH À VOLMUNSTER;1018250.0;6901245.99;Le Schwalbach;
02100815;LE SCHWALBACH À VOLMUNSTER (MOULIN D'ESCHWILLER);1018360.0;6901699.99;Le Schwalbach;
02100830;LE SCHWALBACH À LOUTZVILLER;1018202.0;6902726.99;Le Schwalbach;
